Sample #,Premium USD,Claim,AgeClass,Gender,Car Power,Rating Class,Branch,Zone,Region,City
1,1508.82,N,Elder,F,16,D,MAGENTA,S,SW,N
2,869.69,N,Elder,F,19,B,BROWN,M,MW,Y
3,572.72,N,Elder,M,19,A,INDIGO,S,SE,N
4,544.29,N,Elder,F,12,B,BROWN,M,MW,Y
5,785.53,N,Young,M,16,B,BROWN,M,MW,Y
6,842.9,N,Elder,M,17,B,MAGENTA,M,MW,N
7,387.84,N,Elder,M,16,A,BROWN,M,MW,Y
8,597.36,N,Elder,F,14,B,BROWN,M,MW,Y
9,338.82,N,Elder,F,12,A,BROWN,M,ME,Y
10,148.08,N,Elder,F,10,A,BROWN,S,SW,Y
11,1148.83,N,Elder,M,15,C,INDIGO,M,ME,N
12,1066.71,N,Elder,F,18,B,INDIGO,M,MW,Y
13,773.67,N,Elder,F,12,B,MAGENTA,S,SE,N
14,1276.35,N,Elder,F,17,C,MAGENTA,M,MW,Y
15,1416.06,N,Elder,M,17,D,BROWN,S,SW,Y
16,610.16,N,Elder,M,12,B,INDIGO,S,SE,Y
17,409.58,N,Elder,M,13,A,INDIGO,N,NE,Y
18,1107.91,N,Elder,F,15,B,INDIGO,S,SW,N
19,954.51,N,Elder,F,19,A,MAGENTA,S,SW,N
20,1661.5,N,Elder,F,20,B,INDIGO,N,NW,N
21,493.01,N,Elder,M,13,B,PURPLE,N,NE,N
22,958.36,N,Elder,F,19,A,BROWN,M,ME,Y
23,607.24,N,Elder,F,14,B,BROWN,N,NW,Y
24,900.79,N,Elder,M,15,C,INDIGO,M,MW,N
25,839.51,N,Elder,M,12,C,INDIGO,M,MW,Y
26,589.68,N,Elder,F,14,B,MAGENTA,S,SW,N
27,342.98,N,Elder,F,14,A,BROWN,S,SW,Y
28,268.84,N,Elder,M,12,A,INDIGO,M,MW,Y
29,371.94,N,Elder,F,13,A,BROWN,N,NW,N
30,388.72,N,Young,M,14,A,INDIGO,S,SE,Y
31,961.32,N,Elder,M,14,B,MAGENTA,M,ME,N
32,981.1,N,Elder,M,17,B,MAGENTA,N,NW,N
33,527.89,N,Elder,M,12,B,BROWN,N,NE,Y
34,256.22,N,Young,F,13,A,INDIGO,M,ME,Y
35,959.85,N,Elder,F,17,B,INDIGO,S,SW,N
36,1096.81,N,Young,M,15,C,INDIGO,M,ME,Y
37,1290.7,N,Elder,M,14,B,BROWN,S,SW,N
38,1018.58,N,Elder,M,16,C,BROWN,M,MW,Y
39,1409.05,N,Elder,M,17,B,BROWN,N,NW,Y
40,1045.04,N,Elder,F,13,D,BROWN,S,SE,Y
41,799.59,N,Elder,F,18,B,INDIGO,N,NE,N
42,1046.44,N,Elder,M,16,C,BROWN,N,NE,Y
43,510.47,N,Elder,M,13,B,BROWN,N,NE,Y
44,1723.85,Y,Elder,M,19,B,BROWN,N,NW,Y
45,675.55,N,Young,M,16,B,INDIGO,S,SW,N
46,896.77,N,Elder,M,19,B,BROWN,S,SE,Y
47,1360.57,N,Elder,M,21,C,BROWN,M,ME,N
48,1297.96,N,Elder,M,19,B,BROWN,M,MW,Y
49,173.53,N,Young,M,11,A,MAGENTA,N,NW,Y
50,561.79,N,Elder,F,18,A,INDIGO,M,ME,Y
51,941.49,Y,Elder,M,19,B,INDIGO,M,MW,Y
52,1195.51,N,Elder,F,17,B,BROWN,S,SW,Y
53,1072.9,N,Elder,M,18,C,INDIGO,M,ME,N
54,701.82,N,Elder,F,16,B,BROWN,M,MW,Y
55,508.15,N,Elder,F,11,A,BROWN,S,SE,Y
56,982.53,N,Elder,M,19,B,INDIGO,M,MW,Y
57,1833.23,N,Elder,M,13,C,INDIGO,N,NW,N
58,609.62,N,Elder,M,20,A,MAGENTA,S,SW,N
59,1296.72,N,Elder,F,19,B,BROWN,M,ME,Y
60,2147.45,N,Elder,M,18,C,INDIGO,M,MW,N
61,870.11,Y,Elder,M,14,C,BROWN,N,NW,Y
62,635.87,N,Elder,F,13,B,BROWN,N,NW,Y
63,881.14,N,Elder,M,20,B,PURPLE,N,NW,N
64,660.08,N,Elder,F,16,B,MAGENTA,M,ME,N
65,446.13,N,Elder,M,17,A,BROWN,M,MW,N
66,1049.2,N,Elder,M,20,B,BROWN,M,ME,Y
67,733.67,N,Elder,F,19,A,BROWN,N,NW,N
68,1119.13,N,Elder,F,13,C,BROWN,S,SW,Y
69,1106.82,Y,Elder,M,16,C,INDIGO,M,MW,Y
70,384.67,N,Elder,F,16,A,INDIGO,N,NW,N
71,419.2,Y,Elder,M,16,A,INDIGO,S,SW,Y
72,1061.7,Y,Elder,M,16,C,BROWN,N,NW,Y
73,850.75,N,Elder,M,14,C,INDIGO,M,ME,Y
74,781.56,N,Elder,M,18,B,BROWN,N,NE,Y
75,804.67,N,Elder,M,16,B,BROWN,N,NW,Y
76,360.23,N,Elder,F,15,A,INDIGO,N,NE,N
77,352.65,N,Elder,M,13,A,INDIGO,N,NE,N
78,726.41,N,Elder,F,14,B,BROWN,M,ME,Y
79,776.37,N,Elder,M,18,B,INDIGO,N,NE,Y
80,366.87,N,Elder,F,15,A,INDIGO,N,NW,N
81,1273.78,N,Young,M,13,C,MAGENTA,M,ME,Y
82,509.65,N,Elder,M,18,A,BROWN,N,NE,Y
83,944.05,N,Elder,F,18,A,BROWN,S,SE,Y
84,66.72,N,Elder,M,10,A,INDIGO,S,SE,N
85,1017.97,N,Elder,F,16,C,MAGENTA,M,ME,Y
86,624.97,N,Elder,M,15,B,BROWN,S,SE,Y
87,661.4,N,Elder,M,16,B,INDIGO,S,SW,Y
88,270.74,N,Elder,M,13,A,INDIGO,M,ME,N
89,435.43,Y,Elder,F,13,A,BROWN,N,NE,Y
90,684.41,N,Elder,M,18,A,INDIGO,S,SE,Y
91,1955.21,N,Elder,M,17,C,INDIGO,M,MW,Y
92,986.43,N,Elder,M,22,B,BROWN,M,ME,N
93,1052.89,Y,Elder,F,13,B,BROWN,S,SW,Y
94,1051.62,N,Young,F,14,C,INDIGO,S,SW,Y
95,183.87,N,Young,M,12,A,BROWN,M,MW,N
96,913.54,N,Elder,M,16,B,MAGENTA,S,SE,N
97,811.04,N,Elder,F,18,B,BROWN,M,MW,Y
98,966.74,N,Elder,F,15,C,MAGENTA,S,SE,N
99,1024.84,Y,Elder,M,16,C,MAGENTA,M,MW,N
100,1663.19,N,Elder,M,21,D,INDIGO,M,MW,Y
101,793.81,N,Elder,F,17,B,MAGENTA,S,SE,N
102,1076.86,N,Elder,F,15,C,BROWN,N,NW,Y
103,599.93,N,Elder,M,17,A,MAGENTA,N,NW,N
104,712.29,N,Elder,F,15,A,BROWN,M,MW,Y
105,583.88,Y,Young,M,13,B,INDIGO,N,NW,Y
106,664.87,N,Elder,M,16,B,BROWN,N,NW,Y
107,653.29,Y,Young,M,14,B,BROWN,N,NW,N
108,1075.48,N,Elder,M,17,C,INDIGO,N,NE,N
109,1319.01,N,Elder,M,15,A,INDIGO,N,NE,N
110,790.91,N,Elder,M,16,B,INDIGO,M,ME,N
111,418.86,N,Elder,F,16,A,PURPLE,N,NW,N
112,567.8,N,Elder,F,14,B,BROWN,N,NE,Y
113,1164.97,N,Elder,F,15,B,INDIGO,S,SW,N
114,526.78,N,Elder,F,13,B,MAGENTA,N,NW,N
115,925.66,N,Elder,F,13,A,BROWN,S,SW,Y
116,723.88,N,Elder,F,15,A,PURPLE,N,NW,N
117,740.69,N,Young,F,11,C,MAGENTA,N,NW,N
118,394.51,N,Elder,M,16,A,INDIGO,S,SW,Y
119,759.55,N,Elder,M,18,A,MAGENTA,N,NW,N
120,469.14,N,Elder,F,11,B,BROWN,N,NE,Y
121,1153.49,N,Elder,F,20,C,MAGENTA,M,ME,N
122,1016.14,N,Elder,F,15,C,BROWN,S,SW,Y
123,878.11,N,Elder,M,18,B,MAGENTA,S,SW,N
124,662.04,Y,Young,M,13,B,BROWN,N,NW,Y
125,932.04,N,Elder,F,20,B,BROWN,M,ME,N
126,659.61,N,Elder,M,11,C,MAGENTA,N,NW,N
127,786.82,N,Elder,M,18,A,MAGENTA,M,ME,N
128,1864.8,N,Elder,M,16,D,PURPLE,M,MW,N
129,1035.9,N,Elder,M,16,C,INDIGO,N,NE,Y
130,514.81,N,Elder,F,13,B,INDIGO,M,MW,N
131,1143.75,N,Elder,F,20,C,MAGENTA,S,SE,Y
132,1339.47,N,Elder,M,19,C,BROWN,M,MW,Y
133,1973.68,N,Elder,M,16,C,INDIGO,M,ME,Y
134,450.98,N,Elder,F,12,B,MAGENTA,N,NE,Y
135,607.73,N,Elder,M,15,B,MAGENTA,N,NW,N
136,794.46,N,Elder,M,16,B,BROWN,N,NW,Y
137,716.89,Y,Elder,M,12,C,BROWN,N,NE,Y
138,1054.87,N,Elder,F,17,C,BROWN,N,NE,Y
139,995.51,Y,Elder,F,12,D,BROWN,M,MW,Y
140,1012.63,N,Elder,F,13,B,BROWN,N,NW,N
141,932.54,N,Elder,F,16,C,MAGENTA,S,SE,Y
142,457.04,Y,Elder,M,17,A,BROWN,M,ME,Y
143,439.63,N,Elder,F,16,A,BROWN,N,NW,Y
144,1246.06,N,Elder,F,18,C,BROWN,M,MW,Y
145,337.43,N,Young,F,12,A,BROWN,M,ME,N
146,442.3,N,Elder,M,17,A,INDIGO,M,ME,N
147,1481.33,N,Elder,M,19,D,INDIGO,M,MW,N
148,659.08,N,Elder,F,16,B,PURPLE,S,SW,N
149,819.64,N,Elder,F,16,B,BROWN,N,NW,N
150,882.97,N,Elder,F,15,B,BROWN,N,NE,Y
151,741.2,N,Elder,F,12,C,PURPLE,S,SW,N
152,231.79,N,Elder,M,13,A,BROWN,N,NW,N
153,1339.7,N,Elder,F,16,C,PURPLE,N,NE,N
154,987.19,N,Elder,M,17,C,INDIGO,N,NE,N
155,845.44,N,Elder,F,14,C,BROWN,S,SE,Y
156,390.99,N,Elder,M,16,A,BROWN,M,MW,Y
157,661.52,Y,Young,F,13,B,INDIGO,S,SW,N
158,674.81,N,Elder,M,21,A,INDIGO,S,SW,N
159,506.17,N,Elder,M,13,B,BROWN,M,MW,N
160,710.72,N,Elder,M,17,A,INDIGO,S,SW,Y
161,315.2,N,Elder,M,13,A,MAGENTA,S,SE,N
162,805.42,N,Elder,M,17,B,INDIGO,S,SW,N
163,540.66,N,Elder,F,17,A,BROWN,M,MW,Y
164,1078.04,N,Elder,F,19,A,INDIGO,N,NE,Y
165,1003.63,N,Elder,M,18,B,MAGENTA,N,NW,N
166,715,N,Elder,M,20,A,BROWN,S,SE,Y
167,714.78,N,Elder,F,16,B,INDIGO,N,NE,Y
168,723.94,N,Elder,M,17,B,BROWN,S,SE,Y
169,663.61,N,Elder,M,16,B,BROWN,N,NE,Y
170,1025.76,N,Elder,M,16,C,INDIGO,M,MW,N
171,530.15,N,Elder,F,18,A,BROWN,S,SE,N
172,540.79,Y,Elder,F,18,A,INDIGO,S,SE,Y
173,904.34,N,Elder,M,18,B,INDIGO,N,NE,N
174,539.92,N,Elder,F,14,B,BROWN,N,NW,Y
175,183.1,N,Elder,M,12,A,MAGENTA,N,NE,N
176,807.65,N,Elder,M,16,B,BROWN,M,MW,N
177,366.79,N,Elder,M,15,A,BROWN,N,NE,N
178,324.04,N,Elder,M,14,A,INDIGO,N,NW,Y
179,445.66,N,Elder,M,16,A,INDIGO,N,NE,Y
180,219.31,N,Elder,F,13,A,INDIGO,N,NW,N
181,788.2,N,Elder,M,16,B,MAGENTA,S,SW,Y
182,694.15,N,Elder,M,16,B,BROWN,N,NW,Y
183,849.15,N,Elder,M,18,B,INDIGO,S,SW,N
184,1362.52,N,Elder,M,17,C,BROWN,N,NE,Y
185,1992.1,N,Elder,M,17,A,BROWN,N,NW,Y
186,637.67,N,Elder,F,15,B,INDIGO,N,NW,Y
187,848.68,N,Elder,F,15,B,MAGENTA,M,MW,N
188,618.46,N,Elder,F,14,B,INDIGO,N,NW,N
189,805.41,N,Elder,F,14,B,BROWN,S,SE,Y
190,678.11,Y,Elder,M,19,A,BROWN,N,NW,Y
191,656.89,N,Elder,F,16,B,INDIGO,M,MW,Y
192,1047.97,N,Elder,F,12,C,INDIGO,M,MW,Y
193,801.79,N,Elder,F,18,B,BROWN,N,NW,Y
194,1030.81,Y,Elder,M,15,B,BROWN,M,MW,Y
195,1237.37,N,Elder,M,19,B,MAGENTA,N,NW,Y
196,554.7,N,Elder,F,13,B,INDIGO,M,MW,N
197,663.91,N,Elder,M,16,B,PURPLE,N,NE,N
198,1166.67,N,Elder,F,17,C,BROWN,N,NE,Y
199,720.36,N,Elder,F,17,B,BROWN,M,ME,Y
200,880.75,N,Elder,M,15,B,BROWN,M,MW,Y
201,833.37,N,Elder,F,15,B,PURPLE,S,SW,N
202,987.58,Y,Elder,F,19,B,BROWN,M,ME,Y
203,890.16,Y,Elder,M,14,C,INDIGO,N,NE,Y
204,1126.64,N,Elder,M,18,B,MAGENTA,M,ME,N
205,716.11,N,Elder,M,12,C,BROWN,S,SE,Y
206,445.44,N,Young,F,12,B,MAGENTA,N,NW,N
207,1131.05,N,Elder,F,16,A,MAGENTA,N,NW,Y
208,631.06,N,Elder,M,15,B,PURPLE,M,MW,N
209,1063.45,N,Elder,M,18,C,BROWN,M,MW,Y
210,1078.04,N,Elder,F,12,D,BROWN,S,SE,Y
211,736.09,N,Elder,M,16,A,BROWN,M,MW,Y
212,916.05,N,Elder,F,13,C,INDIGO,S,SE,N
213,1996.95,N,Elder,M,16,D,INDIGO,S,SW,Y
214,387.73,N,Elder,M,14,A,MAGENTA,M,MW,N
215,660.15,Y,Young,M,15,B,BROWN,S,SW,N
216,941.3,N,Elder,M,21,B,BROWN,N,NE,N
217,472.75,N,Elder,M,17,A,BROWN,M,MW,N
218,1106.2,N,Elder,F,20,B,MAGENTA,S,SW,N
219,660.36,N,Elder,F,19,A,INDIGO,S,SE,Y
220,920,N,Elder,M,17,B,BROWN,N,NW,Y
221,1051.03,N,Elder,M,16,C,INDIGO,M,ME,N
222,1107.09,N,Elder,M,20,B,BROWN,N,NW,N
223,739.11,N,Elder,F,15,B,BROWN,M,ME,N
224,799.66,N,Elder,M,16,B,INDIGO,S,SE,N
225,587.86,N,Elder,F,14,B,BROWN,N,NE,Y
226,1032.67,N,Elder,F,19,B,BROWN,M,ME,N
227,1086.51,N,Elder,F,20,B,PURPLE,S,SW,N
228,1438.45,N,Elder,F,18,B,MAGENTA,M,ME,N
229,716.9,N,Elder,M,17,B,BROWN,N,NE,Y
230,565.26,N,Elder,F,19,A,INDIGO,N,NE,N
231,1207.8,N,Elder,M,17,B,MAGENTA,M,MW,N
232,720.27,N,Elder,F,17,B,BROWN,N,NE,Y
233,885.44,N,Elder,F,15,C,BROWN,M,MW,N
234,885.71,Y,Elder,M,15,C,BROWN,M,MW,Y
235,565.54,N,Elder,F,14,B,MAGENTA,S,SW,N
236,869.76,N,Elder,M,17,B,INDIGO,N,NW,N
237,1616.67,Y,Elder,F,17,C,BROWN,N,NW,Y
238,784.83,N,Elder,F,18,A,MAGENTA,N,NE,N
239,431.94,N,Elder,F,15,A,MAGENTA,M,ME,Y
240,815.27,N,Elder,F,14,C,PURPLE,M,MW,N
241,1265.87,N,Elder,F,19,C,INDIGO,N,NW,N
242,403.47,N,Elder,F,15,A,INDIGO,N,NW,Y
243,840.98,N,Elder,M,18,A,INDIGO,N,NW,Y
244,493.39,N,Elder,F,12,B,BROWN,M,ME,N
245,697.58,N,Elder,M,16,B,BROWN,S,SE,Y
246,1512,N,Elder,M,17,A,MAGENTA,N,NW,N
247,750.12,N,Elder,M,19,A,MAGENTA,N,NE,Y
248,926.58,N,Elder,F,19,B,MAGENTA,M,MW,Y
249,367.64,Y,Young,F,15,A,BROWN,M,ME,Y
250,944.05,N,Elder,M,16,B,MAGENTA,M,MW,N
251,1036.52,N,Elder,F,17,B,PURPLE,S,SW,N
252,1214.39,N,Elder,F,18,C,BROWN,N,NW,Y
253,907.43,N,Young,M,19,B,BROWN,S,SE,N
254,829.09,N,Elder,M,18,B,BROWN,N,NW,N
255,1568.27,N,Elder,M,18,C,BROWN,N,NE,N
256,1247.94,N,Elder,M,13,D,MAGENTA,M,ME,N
257,832.84,N,Elder,M,19,B,MAGENTA,M,MW,N
258,762.97,N,Elder,F,16,B,PURPLE,N,NW,N
259,669.51,N,Elder,F,17,A,BROWN,S,SW,N
260,1193.45,Y,Elder,M,16,C,INDIGO,N,NW,N
261,1344.97,N,Elder,M,16,D,BROWN,N,NW,Y
262,457.8,N,Elder,M,16,A,INDIGO,N,NW,Y
263,881.62,N,Elder,M,20,B,BROWN,M,MW,Y
264,1131.48,N,Elder,M,18,C,MAGENTA,N,NW,N
265,1187.86,N,Elder,F,16,B,BROWN,S,SE,Y
266,646.96,N,Young,F,12,A,MAGENTA,S,SW,Y
267,600.82,N,Elder,F,20,A,INDIGO,M,MW,Y
268,697.91,N,Elder,F,16,B,MAGENTA,N,NE,Y
269,321.22,N,Elder,F,14,A,MAGENTA,N,NW,N
