Product ID,Type,Air Temp,Proc Temp,Rtn Speed,Torque,Tool Wear,Failure?
L47230,L,298.9,309.1,2861,4.6,143,Yes
L47249,L,298.9,309,1410,65.7,191,Yes
L47257,L,298.8,308.9,1455,41.3,208,Yes
L47340,L,298.4,308.2,1282,60.7,216,Yes
L47341,L,298.3,308.1,1412,52.3,218,Yes
L47348,L,298.4,308.3,1433,62.3,20,Yes
M15054,M,298.2,308.5,2678,10.7,86,Yes
M15067,M,298.4,308.7,1421,60.7,119,Yes
L47422,L,298,308.2,1348,58.8,202,Yes
L47428,L,298,308.3,1362,56.8,216,Yes
L47429,L,298,308.3,1405,56.2,218,Yes
M15119,M,298.1,308.2,1420,63.9,19,Yes
L47507,L,297.7,308.5,1373,56.7,203,Yes
L47560,L,297.5,308.3,2564,12.8,127,Yes
L47622,L,297.4,308.5,1399,61.5,61,Yes
L47643,L,297.4,308.7,2874,4.2,118,Yes
L47766,L,297.6,309.6,1501,49.8,222,Yes
L47783,L,297.9,309.8,1336,71.6,31,Yes
L47926,L,296.8,308.1,1289,62,199,Yes
L48027,L,296.4,307.4,2833,5.6,213,Yes
M15740,M,295.8,306.3,1235,76.2,89,Yes
L48083,L,295.7,306.2,2270,14.6,149,Yes
L48106,L,295.6,306.1,1372,55.6,215,Yes
M15876,M,296.3,307.2,1319,68.3,24,Yes
L48265,L,297,307.8,1385,56.4,202,Yes
H30501,H,296.9,307.8,1549,35.8,206,Yes
L48275,L,296.9,307.5,2721,9.3,18,Yes
H30537,H,296.6,307.7,1386,62.3,100,Yes
M15984,M,296.7,307.8,1258,69,105,Yes
L48324,L,297,307.9,1296,69.1,153,Yes
L48341,L,297,307.8,1316,61.2,200,Yes
L48342,L,296.9,307.8,1400,57.1,202,Yes
L48347,L,297,308.1,1362,52.5,213,Yes
M16081,M,297,308.3,1399,46.4,132,Yes
L48464,L,298.4,309.5,2153,15.3,98,Yes
L48482,L,298.6,309.8,1505,45.7,144,Yes
M16184,M,298.8,310.1,1243,74.5,194,Yes
L48514,L,299,310.4,1365,49.1,226,Yes
L48515,L,299,310.4,1371,53.8,228,Yes
L48571,L,298.9,310.2,2737,8.8,142,Yes
L48599,L,298.7,309.8,1354,53.3,212,Yes
M16352,M,298,308.7,1479,58.5,176,Yes
L48676,L,298,308.7,1268,69.4,189,Yes
L48689,L,298,308.5,1429,37.7,220,Yes
L48763,L,298.2,308.4,1310,61,189,Yes
L48775,L,298,308.2,1365,52.9,218,Yes
H31096,H,297.9,307.4,1604,36.1,225,Yes
H31162,H,298.4,307.7,1626,31.1,166,Yes
L48943,L,298.2,307.6,1511,31,209,Yes
L48964,L,298.3,308,2886,3.8,57,Yes
