Engine_Size,Num_Doors,Price,Age_Month,KM,Mfr_Guarantee,Power_Steering
2.0,2/3-Doors,13500,23,46986,0,1
2.0,2/3-Doors,13750,23,72937,0,1
2.0,2/3-Doors,13950,24,41711,1,1
2.0,2/3-Doors,14950,26,48000,1,1
2.0,2/3-Doors,13750,30,38500,1,1
2.0,2/3-Doors,12950,32,61000,0,1
2.0,2/3-Doors,16900,27,94612,0,1
2.0,2/3-Doors,18600,30,75889,1,1
1.9,2/3-Doors,12950,23,71138,0,1
1.8,2/3-Doors,20950,25,31461,1,1
1.8,2/3-Doors,19950,22,43610,1,1
1.8,2/3-Doors,19600,25,32189,1,1
1.8,2/3-Doors,21500,31,23000,1,1
1.8,2/3-Doors,22500,32,34131,1,1
1.8,2/3-Doors,22000,28,18739,0,1
1.8,2/3-Doors,22750,30,34000,0,1
1.6,2/3-Doors,17950,24,21716,0,1
1.6,2/3-Doors,16750,24,25563,0,1
1.6,2/3-Doors,16950,30,64359,1,1
1.6,2/3-Doors,15950,30,67660,1,1
1.6,2/3-Doors,16950,29,43905,0,1
1.6,2/3-Doors,15950,28,56349,0,1
1.6,2/3-Doors,16950,28,32220,1,1
1.6,2/3-Doors,16250,29,25813,1,1
1.6,2/3-Doors,15950,25,28450,0,1
1.6,2/3-Doors,17495,27,34545,1,1
1.6,2/3-Doors,15750,29,41415,1,1
1.6,2/3-Doors,16950,28,44142,1,1
1.6,2/3-Doors,17950,30,11090,1,1
1.4,2/3-Doors,12950,29,9750,1,1
1.4,2/3-Doors,15750,22,35199,1,1
1.4,2/3-Doors,15950,27,29510,1,1
1.4,2/3-Doors,14950,26,32692,0,1
1.4,2/3-Doors,15500,22,41000,0,1
1.4,2/3-Doors,15750,26,43000,1,1
1.4,2/3-Doors,15950,25,25000,0,1
1.4,2/3-Doors,14950,23,10000,1,1
1.4,2/3-Doors,15750,32,25329,1,1
1.4,2/3-Doors,14750,27,27500,1,1
1.4,2/3-Doors,13950,22,49059,0,1
1.4,2/3-Doors,16750,27,44068,1,1
1.4,2/3-Doors,13950,22,46961,1,1
2.0,4/5-Doors,16950,27,110404,1,1
2.0,4/5-Doors,16950,22,100250,1,1
2.0,4/5-Doors,19000,23,84000,0,1
2.0,4/5-Doors,17950,27,79375,0,1
1.4,4/5-Doors,15800,22,75048,0,1
2.0,4/5-Doors,17950,22,72215,1,1
1.8,4/5-Doors,21950,31,64982,1,1
2.0,4/5-Doors,17950,22,62636,1,1
1.4,4/5-Doors,15750,30,57086,0,1
1.6,4/5-Doors,20500,26,56000,1,1
1.8,4/5-Doors,21950,27,49866,0,1
1.6,4/5-Doors,15500,25,49163,0,1
1.6,4/5-Doors,13250,32,45725,1,1
1.4,4/5-Doors,15250,28,43210,0,1
1.4,4/5-Doors,15250,26,43000,1,1
1.6,4/5-Doors,18950,23,39704,1,1
1.6,4/5-Doors,15999,30,38950,0,1
1.4,4/5-Doors,14950,22,37400,0,1
1.6,4/5-Doors,16500,27,37177,0,1
1.6,4/5-Doors,18750,31,36544,1,1
1.6,4/5-Doors,17950,30,33511,1,1
1.4,4/5-Doors,17950,27,32809,0,1
1.6,4/5-Doors,16950,26,32181,0,1
1.6,4/5-Doors,18950,28,30993,1,1
1.4,4/5-Doors,14950,22,30400,0,1
2.0,4/5-Doors,22250,22,30000,1,1
1.4,4/5-Doors,15950,25,29719,1,1
1.4,4/5-Doors,15950,28,29206,1,1
1.4,4/5-Doors,12995,32,29198,1,1
1.6,4/5-Doors,18950,28,28817,1,1
1.4,4/5-Doors,15750,23,28227,0,1
1.6,4/5-Doors,19950,28,28000,1,1
1.6,4/5-Doors,16950,23,28000,1,1
1.6,4/5-Doors,18750,31,25266,1,1
1.6,4/5-Doors,18450,27,23489,0,1
1.6,4/5-Doors,16895,29,22575,1,1
1.4,4/5-Doors,14900,30,22000,1,1
1.6,4/5-Doors,18950,25,20019,0,1
1.6,4/5-Doors,17250,29,20000,1,1
1.4,4/5-Doors,15450,25,17003,0,1
1.6,4/5-Doors,17950,31,16238,1,1
1.4,4/5-Doors,16650,25,15414,1,1
1.6,4/5-Doors,17450,28,8537,0,1
1.4,4/5-Doors,14900,30,7000,0,1
2.0,2/3-Doors,17950,20,66966,0,1
1.4,2/3-Doors,15950,19,51884,1,1
2.0,2/3-Doors,21950,19,50005,1,1
1.4,2/3-Doors,16450,20,48110,1,1
2.0,2/3-Doors,22250,20,37500,0,1
2.0,2/3-Doors,19950,16,34472,0,1
1.4,2/3-Doors,15950,20,33329,0,1
1.6,2/3-Doors,18900,20,31850,0,1
2.0,2/3-Doors,19950,17,30351,0,1
1.4,2/3-Doors,15950,19,29435,0,1
1.4,2/3-Doors,15950,19,25948,1,1
1.6,2/3-Doors,18750,11,24500,0,1
1.4,2/3-Doors,17450,18,23902,1,1
1.6,2/3-Doors,18990,20,23175,1,1
1.4,2/3-Doors,16250,19,19200,0,1
1.4,2/3-Doors,18500,13,18000,0,1
1.6,2/3-Doors,18500,11,16123,1,1
1.6,2/3-Doors,19450,11,14635,1,1
1.4,2/3-Doors,16950,19,13748,1,1
1.6,2/3-Doors,18800,14,11500,0,1
1.4,2/3-Doors,17450,17,10000,1,1
1.6,2/3-Doors,17950,20,7187,1,1
2.0,4/5-Doors,22950,7,10000,0,1
2.0,Stationwagen,24990,8,6000,1,1
2.0,4/5-Doors,21950,8,10841,0,1
1.6,2/3-Doors,17900,7,1,0,1
2.0,4/5-Doors,19250,20,63000,0,1
2.0,4/5-Doors,22250,17,57313,1,1
1.6,4/5-Doors,18950,13,57037,0,1
2.0,4/5-Doors,19950,19,51099,0,1
1.6,4/5-Doors,16350,14,40010,1,1
1.6,4/5-Doors,18950,20,39115,1,1
1.6,4/5-Doors,16950,17,36012,1,1
1.6,4/5-Doors,21750,16,36000,1,1
1.6,4/5-Doors,15950,20,36000,0,1
1.4,4/5-Doors,16500,20,35000,0,1
1.4,4/5-Doors,17950,17,33740,0,1
1.6,4/5-Doors,15850,13,33477,0,1
1.4,4/5-Doors,16250,20,32627,0,1
1.4,4/5-Doors,15950,20,29797,1,1
1.4,4/5-Doors,16250,19,29441,0,1
1.4,4/5-Doors,16500,20,29000,0,1
1.4,4/5-Doors,16500,19,27821,1,1
1.4,4/5-Doors,18450,19,27371,0,1
1.6,4/5-Doors,16250,13,25170,0,1
1.6,4/5-Doors,19900,20,23000,0,1
1.4,4/5-Doors,16450,20,22588,1,1
1.8,4/5-Doors,23950,19,21684,0,1
1.6,4/5-Doors,19950,13,21428,1,1
1.6,4/5-Doors,18500,16,20629,1,1
1.6,4/5-Doors,18950,15,20270,1,1
1.4,4/5-Doors,16450,16,20105,1,1
1.6,4/5-Doors,20500,20,20000,0,1
1.6,4/5-Doors,24500,13,19988,1,1
1.6,4/5-Doors,19450,19,18328,1,1
1.6,4/5-Doors,20950,14,17896,0,1
1.4,4/5-Doors,17200,20,17300,1,1
1.6,4/5-Doors,19950,19,17038,1,1
1.4,4/5-Doors,18450,10,13747,1,1
1.6,4/5-Doors,19500,12,13634,1,1
1.6,4/5-Doors,21750,13,13178,1,1
1.4,4/5-Doors,16868,15,13157,1,1
1.6,4/5-Doors,19500,16,13000,1,1
1.6,4/5-Doors,18900,11,12500,1,1
1.6,4/5-Doors,19750,17,11999,0,1
1.6,4/5-Doors,19750,16,11754,0,1
1.6,4/5-Doors,18950,16,11000,1,1
1.6,4/5-Doors,20750,17,10000,0,1
1.6,4/5-Doors,19600,9,7650,0,1
1.6,4/5-Doors,19500,14,6500,0,1
1.4,4/5-Doors,17650,11,6155,1,1
1.6,4/5-Doors,19950,14,6000,0,1
1.6,4/5-Doors,19950,14,5459,0,1
1.6,4/5-Doors,20950,14,5278,1,1
1.6,4/5-Doors,20500,12,5000,1,1
1.4,4/5-Doors,17795,9,1,0,1
1.6,4/5-Doors,18245,9,1,0,1
1.6,4/5-Doors,23750,8,11000,0,1
1.4,4/5-Doors,19500,8,10077,1,1
1.4,4/5-Doors,18950,8,10000,0,1
1.6,4/5-Doors,21950,8,9788,1,1
1.6,4/5-Doors,19950,8,8574,1,1
1.6,4/5-Doors,18950,8,7000,0,1
1.6,4/5-Doors,19950,7,6250,0,1
1.6,4/5-Doors,21950,8,5000,0,1
1.6,4/5-Doors,22500,6,3000,1,1
1.6,4/5-Doors,18500,7,2000,0,1
1.4,4/5-Doors,18700,7,450,0,1
1.4,4/5-Doors,21125,2,225,1,1
1.6,4/5-Doors,21500,2,15,1,1
1.4,4/5-Doors,17795,1,1,0,1
1.6,4/5-Doors,18245,1,1,0,1
1.9,2/3-Doors,6950,43,243000,0,1
2.0,4/5-Doors,9500,38,180638,0,1
2.0,4/5-Doors,11950,40,179860,0,1
1.6,2/3-Doors,7750,43,178858,0,1
1.9,2/3-Doors,11950,40,161000,0,1
1.8,Stationwagen,4350,44,158320,0,1
1.8,4/5-Doors,4750,44,131273,0,1
1.9,4/5-Doors,11750,40,130062,0,1
1.9,Stationwagen,13250,41,123425,0,1
1.6,4/5-Doors,11950,37,118217,0,1
1.9,4/5-Doors,11900,44,110000,0,1
2.0,4/5-Doors,14750,39,108847,0,1
1.4,2/3-Doors,9950,42,105699,0,1
1.6,4/5-Doors,11950,39,98823,1,1
1.6,4/5-Doors,11495,44,96829,1,1
1.4,2/3-Doors,11250,40,96518,0,1
1.6,4/5-Doors,10500,42,92204,1,1
1.9,2/3-Doors,10450,35,91456,0,1
1.6,2/3-Doors,11500,44,89757,1,1
1.6,4/5-Doors,12500,40,85389,0,1
1.4,4/5-Doors,10950,43,85017,1,1
1.6,4/5-Doors,11450,41,84312,0,1
1.6,4/5-Doors,11950,37,82743,1,1
1.9,Stationwagen,13250,41,81106,0,1
2.0,4/5-Doors,14750,40,80425,0,1
1.6,4/5-Doors,11790,34,78677,0,1
1.6,4/5-Doors,11450,40,78425,0,1
2.0,2/3-Doors,13500,33,78108,1,1
1.6,4/5-Doors,10950,33,77321,0,1
1.9,2/3-Doors,13500,33,75699,1,1
1.4,2/3-Doors,10950,41,75697,1,1
1.4,2/3-Doors,10950,44,74846,1,1
1.6,4/5-Doors,12950,38,74319,1,1
1.6,4/5-Doors,11950,43,74285,0,1
1.6,4/5-Doors,12450,44,74172,1,1
1.6,4/5-Doors,11950,40,73042,1,1
1.6,4/5-Doors,14950,44,71793,1,1
1.6,4/5-Doors,12450,35,71200,0,1
1.6,Stationwagen,12950,38,67805,1,1
1.6,2/3-Doors,11950,35,65988,1,1
1.4,4/5-Doors,11690,34,65345,1,1
1.6,4/5-Doors,12450,42,64564,1,1
1.4,4/5-Doors,12750,36,63459,1,1
1.4,2/3-Doors,11925,44,63451,1,1
2.0,4/5-Doors,12950,33,62000,1,1
1.4,2/3-Doors,11950,42,61300,1,1
1.6,2/3-Doors,12900,41,61200,1,1
1.6,4/5-Doors,11900,41,61000,0,1
1.6,4/5-Doors,11650,38,60829,1,1
1.6,4/5-Doors,10950,44,60500,1,0
1.9,2/3-Doors,13950,35,59500,1,1
1.6,4/5-Doors,13950,44,59000,0,1
1.6,4/5-Doors,11950,40,58954,0,1
1.6,4/5-Doors,10950,38,58798,1,1
1.6,2/3-Doors,12450,38,58363,0,1
1.6,2/3-Doors,11950,43,58277,0,1
2.0,2/3-Doors,13500,33,57711,1,1
1.6,4/5-Doors,11690,33,57269,1,1
1.6,4/5-Doors,13500,39,56001,1,1
1.6,2/3-Doors,11950,42,55968,1,1
1.6,4/5-Doors,12900,39,55678,1,1
1.6,Stationwagen,13500,43,55539,1,1
1.6,4/5-Doors,11750,42,55400,1,1
1.6,4/5-Doors,11750,33,55350,1,1
1.6,4/5-Doors,10850,43,54600,1,1
1.6,4/5-Doors,11750,43,53773,1,1
1.6,4/5-Doors,14950,42,53719,1,1
1.6,4/5-Doors,9940,39,53644,0,1
1.6,4/5-Doors,12900,42,53350,1,1
1.6,4/5-Doors,13500,38,53000,0,1
1.4,2/3-Doors,11750,44,52084,1,1
1.4,2/3-Doors,11950,44,52000,0,1
1.6,4/5-Doors,13450,33,51945,0,1
1.4,2/3-Doors,11950,41,51732,0,1
1.6,Stationwagen,12495,39,50873,1,1
1.6,4/5-Doors,13500,41,50856,0,1
1.6,4/5-Doors,12750,40,50640,0,1
1.4,4/5-Doors,12000,39,50000,0,1
1.6,4/5-Doors,11950,38,49500,1,1
1.6,4/5-Doors,12495,44,49332,1,1
1.6,2/3-Doors,12450,34,49291,1,1
2.0,4/5-Doors,14750,40,48952,0,1
1.6,2/3-Doors,10950,39,48945,0,1
1.9,2/3-Doors,13500,33,48928,1,1
1.6,Stationwagen,12950,38,48197,1,1
1.9,2/3-Doors,13500,35,48052,1,1
1.6,4/5-Doors,13450,34,48011,1,1
1.6,4/5-Doors,13500,43,48000,0,1
1.6,Stationwagen,11480,41,47350,1,1
1.4,4/5-Doors,13450,39,46821,1,1
1.6,2/3-Doors,11495,39,46694,1,1
1.4,4/5-Doors,12750,43,46515,0,1
1.6,2/3-Doors,14990,38,46327,1,1
1.4,4/5-Doors,12950,35,46304,1,1
1.6,4/5-Doors,12950,40,45886,1,1
1.4,4/5-Doors,12850,39,45713,0,1
1.6,4/5-Doors,13950,40,45600,0,1
1.6,4/5-Doors,11950,41,45287,0,1
1.6,4/5-Doors,12950,39,45081,1,1
1.6,4/5-Doors,11700,40,44830,0,1
1.4,2/3-Doors,9950,37,44757,0,1
1.4,4/5-Doors,11895,44,44218,1,1
1.6,Stationwagen,12950,43,43632,0,1
1.6,2/3-Doors,12500,36,43427,1,1
1.6,4/5-Doors,13875,39,43254,1,1
1.6,2/3-Doors,10500,35,43000,0,1
1.6,4/5-Doors,12295,33,42823,1,1
1.6,4/5-Doors,13950,42,42560,1,1
1.6,2/3-Doors,10950,38,41754,0,1
1.6,4/5-Doors,12950,44,41499,1,1
1.6,4/5-Doors,12850,40,41339,1,1
1.6,4/5-Doors,13995,35,41000,1,1
1.6,2/3-Doors,13750,39,40000,0,1
1.6,4/5-Doors,12750,37,39757,1,1
1.6,2/3-Doors,12500,41,39659,1,1
1.6,2/3-Doors,13950,43,39650,0,1
1.4,2/3-Doors,11500,39,39524,1,1
1.4,4/5-Doors,13950,44,39516,1,1
1.4,4/5-Doors,11895,41,39439,1,1
1.4,2/3-Doors,9950,44,39000,0,1
1.6,2/3-Doors,13500,42,38932,0,0
1.4,2/3-Doors,11450,37,38812,1,1
1.6,4/5-Doors,12450,42,38665,1,1
1.6,4/5-Doors,12950,40,38653,1,1
1.6,4/5-Doors,13995,44,38461,1,1
1.4,2/3-Doors,11750,42,38078,0,1
1.4,4/5-Doors,11650,39,37782,0,1
1.4,2/3-Doors,9950,43,37576,0,1
1.6,4/5-Doors,13950,41,37533,0,1
1.6,4/5-Doors,12950,44,37389,1,1
1.4,2/3-Doors,10950,38,37320,0,1
1.4,2/3-Doors,9900,42,37000,1,1
1.6,4/5-Doors,11950,44,37000,0,1
1.6,4/5-Doors,11990,40,36566,1,1
1.6,4/5-Doors,10750,36,36269,0,1
1.6,4/5-Doors,13950,37,36074,0,1
1.6,2/3-Doors,11250,44,36066,1,1
1.6,4/5-Doors,12950,39,34599,0,1
1.6,4/5-Doors,11950,41,34000,0,1
1.4,2/3-Doors,10950,42,33623,0,1
1.6,4/5-Doors,12950,33,33591,0,1
1.6,4/5-Doors,12950,35,33258,1,1
1.6,4/5-Doors,11695,43,33113,1,1
1.6,4/5-Doors,11000,41,33000,0,1
1.6,4/5-Doors,13950,35,32941,1,1
1.6,4/5-Doors,11950,38,32781,1,1
1.6,2/3-Doors,11750,40,32532,1,1
1.4,4/5-Doors,12400,34,32431,1,1
1.6,2/3-Doors,12500,35,32000,0,1
1.6,4/5-Doors,12900,33,31000,0,1
1.6,2/3-Doors,12200,41,30989,0,1
1.6,2/3-Doors,12750,43,30742,1,1
1.6,4/5-Doors,11950,42,30190,1,1
2.0,4/5-Doors,11900,41,29716,0,1
1.6,2/3-Doors,11950,44,29716,1,1
1.6,2/3-Doors,14950,42,29640,1,1
1.4,4/5-Doors,11950,41,29056,1,1
1.6,4/5-Doors,12950,33,28715,1,1
1.6,4/5-Doors,14950,41,28571,1,1
1.6,2/3-Doors,13450,40,28362,0,1
1.6,4/5-Doors,13750,38,28150,0,1
1.6,2/3-Doors,12950,43,27301,1,1
1.6,4/5-Doors,12750,33,27240,0,1
1.4,4/5-Doors,11895,39,27170,1,1
1.4,4/5-Doors,9950,42,27141,1,1
1.6,4/5-Doors,12450,38,26262,0,1
1.4,4/5-Doors,12500,38,26000,1,1
1.6,2/3-Doors,14950,43,25228,1,1
1.6,4/5-Doors,13750,39,25062,1,1
1.6,4/5-Doors,12695,39,24723,1,1
1.6,2/3-Doors,14990,33,24650,1,1
1.6,4/5-Doors,12750,43,24553,1,1
1.6,4/5-Doors,14350,41,24475,0,1
1.6,2/3-Doors,12950,39,24444,1,1
1.4,2/3-Doors,11500,35,24011,1,1
1.4,2/3-Doors,11950,41,24000,0,1
1.6,4/5-Doors,13450,40,23616,0,1
1.6,4/5-Doors,12900,38,22865,1,1
1.3,4/5-Doors,10500,41,22780,1,1
1.4,2/3-Doors,10950,35,21904,0,1
1.4,2/3-Doors,11950,41,21651,1,1
1.6,4/5-Doors,11450,37,21500,1,1
1.6,4/5-Doors,13250,44,21027,1,1
1.6,4/5-Doors,10250,39,18500,0,1
1.6,4/5-Doors,13995,35,18000,1,1
1.4,4/5-Doors,11950,40,17051,1,1
1.4,4/5-Doors,13250,33,16512,0,1
1.6,4/5-Doors,12950,40,16325,0,1
1.4,4/5-Doors,11750,38,16000,0,1
1.6,4/5-Doors,11500,39,12000,0,1
1.4,4/5-Doors,13500,43,10000,0,1
1.9,2/3-Doors,6500,53,216000,0,1
1.9,4/5-Doors,6400,51,198167,0,1
1.9,2/3-Doors,7000,53,176000,0,1
2.0,4/5-Doors,7750,54,174139,0,1
1.9,4/5-Doors,8900,45,174000,0,1
1.6,2/3-Doors,8500,55,150000,0,1
2.0,4/5-Doors,8950,54,149329,0,1
1.6,4/5-Doors,9900,51,146736,0,1
1.9,4/5-Doors,10250,53,143513,0,0
1.6,4/5-Doors,9250,48,142130,0,1
1.9,Stationwagen,7750,48,140700,0,1
1.9,4/5-Doors,9450,54,138394,0,1
2.0,4/5-Doors,7750,55,137000,0,1
1.9,Stationwagen,8250,52,135258,0,1
1.6,Stationwagen,9950,49,131364,0,1
1.8,Stationwagen,4450,56,129155,0,1
1.6,2/3-Doors,9950,50,126110,0,1
1.6,4/5-Doors,9000,48,119742,0,1
1.9,4/5-Doors,9950,53,117913,0,1
2.0,2/3-Doors,12450,47,117430,0,1
1.6,4/5-Doors,10500,55,117175,1,1
1.6,4/5-Doors,10750,54,115558,1,1
1.4,2/3-Doors,8950,53,115113,1,1
1.9,4/5-Doors,10500,54,115046,0,1
2.0,4/5-Doors,5150,56,113997,0,1
1.4,4/5-Doors,10950,49,107859,1,1
1.4,2/3-Doors,9450,52,104805,1,1
1.6,4/5-Doors,9950,54,103454,1,1
1.9,Stationwagen,10950,51,103018,0,1
1.6,4/5-Doors,11900,47,102352,1,1
1.4,4/5-Doors,9950,50,102030,1,1
1.6,4/5-Doors,11950,54,101352,1,1
1.6,4/5-Doors,7900,50,99865,0,1
1.6,2/3-Doors,10950,52,99323,1,1
1.9,4/5-Doors,8950,48,98100,0,1
1.6,Stationwagen,11950,51,98040,1,1
1.6,2/3-Doors,10900,49,97600,0,1
1.6,4/5-Doors,9950,55,97234,0,1
2.0,2/3-Doors,9950,51,96135,0,1
1.6,4/5-Doors,10950,54,96100,1,1
2.0,2/3-Doors,8950,55,94401,0,1
1.3,2/3-Doors,8950,55,94122,0,1
1.6,2/3-Doors,10500,49,91340,1,1
1.4,2/3-Doors,8950,53,90200,0,1
1.9,4/5-Doors,9250,53,90097,1,1
2.0,4/5-Doors,11500,48,89049,0,1
1.6,Stationwagen,9750,52,89000,0,1
1.6,2/3-Doors,9950,45,87274,1,1
1.6,2/3-Doors,11450,49,86221,1,1
1.6,Stationwagen,12500,54,84598,0,1
1.6,4/5-Doors,10500,50,83567,0,1
1.6,Stationwagen,12950,50,83106,1,1
1.6,2/3-Doors,12200,50,82805,1,1
1.4,2/3-Doors,10950,50,82735,1,1
1.6,4/5-Doors,10950,54,81905,0,1
1.6,2/3-Doors,11290,49,80320,1,1
1.4,2/3-Doors,10750,49,80090,0,1
1.6,4/5-Doors,10895,53,79800,1,1
1.6,4/5-Doors,11500,47,78785,1,1
1.6,4/5-Doors,9750,48,78600,0,1
1.6,2/3-Doors,10250,55,77780,0,1
1.6,4/5-Doors,12500,49,77648,1,1
1.6,4/5-Doors,11950,54,77270,1,1
1.4,4/5-Doors,10750,50,76167,1,1
1.6,4/5-Doors,11450,46,75249,1,1
1.6,4/5-Doors,11950,54,75231,1,1
1.6,2/3-Doors,11750,48,75045,0,1
1.6,4/5-Doors,10950,50,74849,1,1
1.6,4/5-Doors,11950,55,74715,1,1
1.9,2/3-Doors,10995,49,74656,1,1
1.4,2/3-Doors,11450,56,74500,0,1
