Survived,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Pclass
No,Mr. Owen Harris Braund,male,22,1,0,7.25,Third
Yes,Mrs. John Bradley (Florence Briggs Thayer) Cumings,female,38,1,0,71.2833,First
Yes,Miss. Laina Heikkinen,female,26,0,0,7.925,Third
Yes,Mrs. Jacques Heath (Lily May Peel) Futrelle,female,35,1,0,53.1,First
No,Mr. William Henry Allen,male,35,0,0,8.05,Third
No,Mr. James Moran,male,27,0,0,8.4583,Third
No,Mr. Timothy J McCarthy,male,54,0,0,51.8625,First
No,Master. Gosta Leonard Palsson,male,2,3,1,21.075,Third
Yes,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,female,27,0,2,11.1333,Third
Yes,Mrs. Nicholas (Adele Achem) Nasser,female,14,1,0,30.0708,Second
Yes,Miss. Marguerite Rut Sandstrom,female,4,1,1,16.7,Third
Yes,Miss. Elizabeth Bonnell,female,58,0,0,26.55,First
No,Mr. William Henry Saundercock,male,20,0,0,8.05,Third
No,Mr. Anders Johan Andersson,male,39,1,5,31.275,Third
No,Miss. Hulda Amanda Adolfina Vestrom,female,14,0,0,7.8542,Third
Yes,Mrs. (Mary D Kingcome) Hewlett,female,55,0,0,16,Second
No,Master. Eugene Rice,male,2,4,1,29.125,Third
Yes,Mr. Charles Eugene Williams,male,23,0,0,13,Second
No,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,female,31,1,0,18,Third
Yes,Mrs. Fatima Masselmani,female,22,0,0,7.225,Third
No,Mr. Joseph J Fynney,male,35,0,0,26,Second
Yes,Mr. Lawrence Beesley,male,34,0,0,13,Second
Yes,Miss. Anna McGowan,female,15,0,0,8.0292,Third
Yes,Mr. William Thompson Sloper,male,28,0,0,35.5,First
No,Miss. Torborg Danira Palsson,female,8,3,1,21.075,Third
Yes,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,female,38,1,5,31.3875,Third
No,Mr. Farred Chehab Emir,male,26,0,0,7.225,Third
No,Mr. Charles Alexander Fortune,male,19,3,2,263,First
Yes,Miss. Ellen O'Dwyer,female,24,0,0,7.8792,Third
No,Mr. Lalio Todoroff,male,23,0,0,7.8958,Third
No,Don. Manuel E Uruchurtu,male,40,0,0,27.7208,First
Yes,Mrs. William Augustus (Marie Eugenie) Spencer,female,48,1,0,146.5208,First
Yes,Miss. Mary Agatha Glynn,female,18,0,0,7.75,Third
No,Mr. Edward H Wheadon,male,66,0,0,10.5,Second
No,Mr. Edgar Joseph Meyer,male,28,1,0,82.1708,First
No,Mr. Alexander Oskar Holverson,male,42,1,0,52,First
Yes,Mr. Hanna Mamee,male,18,0,0,7.2292,Third
No,Mr. Ernest Charles Cann,male,21,0,0,8.05,Third
No,Miss. Augusta Maria Vander Planke,female,18,2,0,18,Third
Yes,Miss. Jamila Nicola-Yarred,female,14,1,0,11.2417,Third
No,Mrs. Johan (Johanna Persdotter Larsson) Ahlin,female,40,1,0,9.475,Third
No,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,female,27,1,0,21,Second
Yes,Miss. Simonne Marie Anne Andree Laroche,female,3,1,2,41.5792,Second
Yes,Miss. Margaret Delia Devaney,female,19,0,0,7.8792,Third
No,Mr. William John Rogers,male,30,0,0,8.05,Third
No,Mr. Denis Lennon,male,20,1,0,15.5,Third
Yes,Miss. Bridget O'Driscoll,female,27,0,0,7.75,Third
No,Mr. Youssef Samaan,male,16,2,0,21.6792,Third
No,Mrs. Josef (Josefine Franchi) Arnold-Franchi,female,18,1,0,17.8,Third
No,Master. Juha Niilo Panula,male,7,4,1,39.6875,Third
No,Mr. Richard Cater Nosworthy,male,21,0,0,7.8,Third
Yes,Mrs. Henry Sleeper (Myna Haxtun) Harper,female,49,1,0,76.7292,First
Yes,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,female,29,1,0,26,Second
No,Mr. Engelhart Cornelius Ostby,male,65,0,1,61.9792,First
Yes,Mr. Hugh Woolner,male,46,0,0,35.5,First
Yes,Miss. Emily Rugg,female,21,0,0,10.5,Second
No,Mr. Mansouer Novel,male,28.5,0,0,7.2292,Third
Yes,Miss. Constance Mirium West,female,5,1,2,27.75,Second
No,Master. William Frederick Goodwin,male,11,5,2,46.9,Third
No,Mr. Orsen Sirayanian,male,22,0,0,7.2292,Third
Yes,Miss. Amelie Icard,female,38,0,0,80,First
No,Mr. Henry Birkhardt Harris,male,45,1,0,83.475,First
No,Master. Harald Skoog,male,4,3,2,27.9,Third
No,Mr. Albert A Stewart,male,64,0,0,27.7208,First
Yes,Master. Gerios Moubarek,male,7,1,1,15.2458,Third
Yes,Mrs. (Elizabeth Ramell) Nye,female,29,0,0,10.5,Second
No,Mr. Ernest James Crease,male,19,0,0,8.1583,Third
Yes,Miss. Erna Alexandra Andersson,female,17,4,2,7.925,Third
No,Mr. Vincenz Kink,male,26,2,0,8.6625,Third
No,Mr. Stephen Curnow Jenkin,male,32,0,0,10.5,Second
No,Miss. Lillian Amy Goodwin,female,16,5,2,46.9,Third
No,Mr. Ambrose Jr Hood,male,21,0,0,73.5,Second
