Region,Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP ($B),Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14 %,Population 15-64 %,Population 65+ %,Population (M),Population Urban %,Tourism Inbound ($M),Tourism Outbound ($M)
Africa,Algeria,0.025,0.720,123475,25,40105,161.21,0.042,181,451,0.024,0.1,0.08,72,69,0.9,0.271,0.681,0.047,37.063,0.675,323,737
Africa,Angola,0.046,0.521,30418,66,13378,82.47,0.034,144,282,0.11,0.1,0.225,52,49,0.5,0.478,0.498,0.024,19.549,0.401,726,275
Africa,Benin,0.038,0.659,5189,31,3653,6.56,0.043,30,270,0.062,0,,60,57,0.7,0.434,0.537,0.029,9.510,0.419,149,91
Africa,Botswana,0.024,0.195,5233,60,2263,13.75,0.056,394,152,0.04,0.1,0.115,46,47,1.2,0.343,0.623,0.035,1.969,0.562,80,89
Africa,Burkina Faso,0.043,0.448,1683,14,,9.21,0.074,41,270,0.07,0,,56,54,0.4,0.46,0.515,0.025,15.540,0.257,105,110
Africa,Burundi,0.045,1.545,308,13,,2.03,0.088,19,211,0.061,0,0.124,54,51,0.2,0.439,0.535,0.025,9.233,0.106,2,35
Africa,Cameroon,0.039,0.488,7235,19,6944,22.49,0.053,57,654,0.066,0,,55,53,0.4,0.434,0.533,0.032,20.624,0.515,171,265
Africa,Central African Republic,0.035,2.038,264,23,,1.99,0.039,18,504,0.103,0,,50,46,0.2,0.406,0.555,0.039,4.350,0.388,7,61
Africa,Chad,0.047,0.758,469,64,,10.66,0.04,29,732,0.094,0,,51,49,0.2,0.488,0.487,0.025,11.721,0.22,,
Africa,Comoros,0.037,2.179,139,22,,0.54,0.034,27,100,0.063,0.1,0.105,62,59,0.2,0.422,0.549,0.029,0.683,0.279,35,19
Africa,"Congo, Dem. Rep.",0.044,3.391,3040,84,23766,20.52,0.07,15,336,0.092,0,0.565,51,47,0.2,0.455,0.517,0.028,62.191,0.399,11,150
Africa,"Congo, Rep.",0.039,0.663,2028,161,1511,12.01,0.023,67,606,0.042,0.1,,59,56,0.9,0.422,0.544,0.034,4.112,0.632,,
Africa,Cote d'Ivoire,0.037,0.442,5805,40,9800,22.92,0.069,83,270,0.077,0,,50,49,0.8,0.418,0.551,0.031,18.977,0.506,213,569
Africa,Djibouti,0.028,0.378,539,37,,1.13,0.088,111,90,0.062,0.1,0.103,62,59,0.2,0.341,0.622,0.037,0.834,0.77,18,20.5
Africa,"Egypt, Arab Rep.",0.024,0.426,204776,8,73575,218.89,0.048,126,433,0.02,0.3,0.11,73,68,0.9,0.315,0.63,0.055,78.076,0.43,13633,2696
Africa,Equatorial Guinea,0.037,0.441,4679,135,,11.59,0.043,757,492,0.076,0.1,,53,50,0.6,0.393,0.578,0.029,0.696,0.392,,
Africa,Eritrea,0.038,0.845,513,84,745,2.12,0.032,12,216,0.039,0,,64,59,0,0.43,0.549,0.021,5.741,0.206,,
